book_id,title,name_author,gender_author,nationality_author,publisher,perspective ,filename,OCR kwaliteit,
1,Heksendans,"Bastet, FL",0,0,De Arbeiderspers,1,1961_Bastet_Heksendans_verbeterd.txt,w a t (29x),perspectief alleen eerste hoofdstukken anders
2,Ik ben het zelf niet,"Blijstra, R",0,0,De Blauwe Distel (reeks?),2,1961_Blijstra_Ikbenhetzelfniet_verbeterd.txt,Tk ipv Ik (109x),2 verhalen?
3,De zoon van Jan de Lichte,"Boon, Louis Paul",0,1,De Arbeiderspers,1,1961_Boon_Dezoonvanjandelichte.txt,,
4,Tijding van ver,"Bordewijk, F",0,0,Nijgh & Van Ditmar,2,1961_Bordewijk_Tijdingvanver_verbeterd.txt,,
5,Die ene mens,"Brakman, Willem",0,0,Querido,2,1961_Brakman_Dieenemens.txt,Vaak een c voor het eerste woord van een zin,
6,Het leven is vurrukkulluk,"Campert, Remco",0,0,De Bezige Bij,3,1961_Campert_Hetlevenisverrukkulluk_annotated.txt,,
7,Verdroomd seizoen,"Carpentier Alting, Rini",1,0,H. P. Leopolds Uitgeversmij,2,1961_CarpentierAlting_Verdroomdseizoen_verbeterd.txt,,
8,Hoe schoon was mijn school,"Daisne, Johan",0,1,S. M. Ontwikkeling,1,1961_Daisne_Hoeschoonwasmijnschool_verbeterd.txt,"Fouten met spaties: o.a. 'i n', 'e r', 'z i jn' (de laatste is soms ook goed), soms ook vreemde regelafbrekingen (zie r.4360)",
9,Een gewoon echtpaar,"Danner, Nora",1,0,Bert Bakker/Daamen,3,1961_Danner_Eengewoonechtpaar_annotated.txt,,
10,Kinderen der eenzame,"Dorp-Ypma, Jo van",1,0,J. H. Kok,1,1961_DorpYpma_Kinderendereenzame_verbeterd.txt,,
11,Mijn Rosalia,"Fabricus, Johan",0,0,H. P. Leopolds Uitgeversmij,1,1961_Fabricus_MijnRosalia_verbeterd.txt,RosaHa en 'i n',
12,Heksen huilen niet of de oranje pyjama,"Faro, Isaac",0,0,G.A. van Oorschot,2,1961_Faro_Heksenhuilennietofdeoranjepyjama_verbeterd.txt,a l + w i l + h i j + Tk (ipv ik),
13,Soms dragen kinderen lampen,"Ferwerda-van den Berg, Annie",1,0,J. H. Kok,2,1961_FerwerdaBerg_Somsdragenkinderenlampen_verbeterd.txt,a l,
14,Daar zit je dan,"Henkemans, Hans",0,0,Bert Bakker/Daamen,1,1961_Henkemans_Daarzitjedan_verbeterd.txt,,
15,Een koppel spreeuwen,"Holsbergen, JW",0,0,De Bezige Bij,1,1961_Holsbergen_Eenkoppelspreeuwen.txt,Veel extra spaties,
16,Eigen haard is goud waard,"Huizinga, Leonhard",0,0,99,2,1961_Huizinga_Eigenhaardisgoudwaard_verbeterd.txt,,
17,Albert Quintijn,"Jagersma, Jan",0,0,Zomer & Keuning,2,1961_Jagersma_AlbertQuintijn_verbeterd.txt,,
18,Olie op de golven,"Mancius, W van",1,0,De Arbeiderspers,2,1961_Mancius_Olieopdegolven_verbeterd.txt,Keller (hoofdpersoon) = Keiler (601x) + '/' (281x) + cura^ao (98x),
19,Een nest vol tuinfluiters,"Manen-Pieters, Jos van",1,0,J. H. Kok,2,1961_ManenPietersvan_Eennestvoltuinfluiters.txt,,
20,Elisabeth,"Meijer, Lide",1,0,A.W. Bruna & Zoon,2,1961_MeijerLide_Elisabeth_verbeterd.txt,,
21,Meineed,"Mons, Martin",0,0,A.W. Sijthoff,2,1961_Mons_Meineed_verbeterd.txt,"* ipv . [punt], m aar, w at, n u",
22,De schuldvraag,"Noordzij, Nel",1,0,De Bezige Bij,2,1961_Noordzijl_Deschuldvraag_verbeterd.txt,Karel (hoofdpersoon) = Karei,
23,Als het niet waar is,"Pauwels, Francois",0,0,Nijgh & Van Ditmar,1,1961_Pauwels_Alshetnietwaaris_verbeterd.txt,,
24,Breekwater,"Polet, Sybren",0,0,De Bezige Bij,2,1961_Polet_Breekwater_verbeterd.txt,,
25,Jeruzalem van het westen,"Praag, Siegfried E van",0,0,H. P. Leopolds Uitgeversmij,2,1961_Praag_Jeruzalemvanhetwesten_verbeterd.txt,,
26,De vadsige koningen,"Raes, Hugo",0,1,De Bezige Bij,1,1961_Raes_Devadsigekoningen_verbeterd.txt,,
27,De onbekende uren,"Ree, Agaath van",1,0,CPNB (Boekenweekgeschenk),2,1961_Ree_Deonbekendeuren_verbeterd.txt,in = (soms) im (169x),
